>NZ_HG994851.1 Escherichia coli isolate 127 chromosome main, complete sequence
>NZ_CP027118.1 Escherichia coli strain 26561 chromosome, complete genome
>NZ_CP102694.1 Escherichia coli strain GN4554 chromosome, complete genome
>NZ_OY754407.1 Escherichia coli isolate F247 chromosome 1, complete sequence
>NZ_CP070007.1 Escherichia coli strain FDAARGOS_1288 chromosome, complete genome
>NZ_CP063459.1 Escherichia coli strain EM22-18-53 chromosome, complete genome
>NZ_CP099328.1 Escherichia fergusonii strain RHB44-C21 chromosome, complete genome
>NZ_CP082835.1 Escherichia coli strain 1613 chromosome, complete genome
>NZ_CP122816.1 Escherichia coli strain ETEC1731 chromosome, complete genome
>NZ_CP035498.1 Escherichia coli strain 04-00955 chromosome, complete genome
>NZ_CP062705.1 Escherichia coli O157:H7 strain Z1833 chromosome, complete genome
>NZ_CP102379.1 Escherichia coli strain BM28 lysU chromosome, complete genome
>NZ_CP082067.1 Escherichia coli strain MS20673 chromosome, complete genome
>NZ_CP101210.1 Escherichia coli strain EC21Z-147 chromosome, complete genome
>NZ_CP068799.1 Escherichia coli strain RIVM_C017887 chromosome, complete genome
>NZ_CP031105.1 Escherichia coli strain AMSCJX02 chromosome, complete genome
>NZ_CP041284.1 Escherichia coli strain 54 chromosome, complete genome
>NZ_AP026080.1 Escherichia coli strain F690 chromosome, complete genome
>NZ_CP121294.1 Escherichia coli O155:H21 strain NWU_1 chromosome, complete genome
>NZ_CP024282.1 Escherichia albertii strain 2014C-4356 chromosome, complete genome
>NZ_HF572917.1 Escherichia coli strain HUSEC2011 chromosome I, complete sequence
>NZ_CP129345.1 Escherichia coli strain STEC1590 chromosome, complete genome
>NZ_AP024687.1 Escherichia coli strain FUJ80154 chromosome, complete genome
>NZ_CP022393.1 Escherichia coli strain E62 chromosome, complete genome
>NZ_CP006830.1 Escherichia coli APEC O18 chromosome, complete genome
>NZ_CP043852.1 Escherichia coli ATCC 8739 chromosome, complete genome
>NZ_CP029111.1 Escherichia coli strain AR436 chromosome, complete genome
>NZ_CP010148.1 Escherichia coli strain D6 chromosome, complete genome
>NZ_CP070077.1 Escherichia coli strain FDAARGOS_1371 chromosome, complete genome
>NZ_CP010315.1 Escherichia coli strain 789 chromosome, complete genome
>NZ_CP043334.1 Escherichia coli strain WCHEC115106 chromosome, complete genome
>NZ_OX442407.1 Escherichia coli isolate pure strain chromosome 1, complete sequence
>NZ_CP098214.1 Escherichia coli strain Z0117EC0036 chromosome, complete genome
>NZ_CP040311.1 Escherichia coli strain F3398 chromosome, complete genome
>NZ_CP076241.1 Escherichia coli O157:H7 strain Vac_07.1 chromosome, complete genome
>NZ_CP109929.1 Escherichia coli O6:K2:H1 strain C 691-04A chromosome, complete genome
>NZ_CP139891.1 Escherichia coli strain ECO20 chromosome, complete genome
>NZ_CP128592.1 Escherichia coli strain VG12A2 chromosome, complete genome
>NZ_CP032805.1 Escherichia coli strain ERL05-0623 chromosome, complete genome
>NZ_CP025747.1 Escherichia coli strain ML35 chromosome, complete genome
>NZ_CP072054.1 Escherichia coli strain K1508 chromosome, complete genome
>NZ_CP117668.1 Escherichia albertii strain BIA_11 chromosome, complete genome
>NZ_CP107182.1 Escherichia coli strain R4 chromosome, complete genome
>NZ_CP041435.1 Escherichia coli strain STEC309 chromosome, complete genome
>NZ_CP041337.1 Escherichia coli strain CCUG 73778 chromosome, complete genome
>NZ_CP138428.1 Escherichia coli strain 6EVA chromosome, complete genome
>NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
>NZ_CP049204.1 Escherichia coli strain PapM-32-1 chromosome, complete genome
>NZ_CP141061.1 Escherichia coli strain KE55 chromosome, complete genome
>NZ_CP117609.1 Escherichia albertii strain BIA_26 chromosome, complete genome
>NZ_CP138419.1 Escherichia coli strain 30EVA2 chromosome, complete genome
>NZ_CP100486.1 Escherichia coli strain LH85-a chromosome, complete genome
>NZ_CP029108.1 Escherichia coli strain AR437 chromosome, complete genome
>NZ_CP104533.1 Escherichia coli strain E10 chromosome, complete genome
>NZ_CP093011.1 Escherichia coli strain 131 chromosome, complete genome
>NZ_LM993812.1 Escherichia coli strain K-12 substr. HMS174 chromosome 1, complete sequence
>NZ_CP038402.1 Escherichia coli O157:H7 strain BB24-1 chromosome, complete genome
>NZ_CP070041.1 Escherichia coli strain FDAARGOS_1293 chromosome, complete genome
>NZ_CP133916.1 Escherichia coli strain M23314 chromosome, complete genome
>NZ_AP024560.1 Escherichia coli strain NIPH17_0020 chromosome, complete genome
>NZ_AP027404.1 Escherichia coli strain EC416 isolate EC416 chromosome, complete genome
>NZ_CP074052.1 Escherichia coli strain PD23 chromosome, complete genome
>NZ_CP095086.1 Escherichia coli isolate EC5654 chromosome, complete genome
>NZ_CP063983.1 Escherichia coli strain 25DN chromosome, complete genome
>NZ_CP014225.1 Escherichia coli str. K-12 substr. MG1655 strain K-12 chromosome, complete genome
>NZ_CP034797.1 Escherichia coli strain 08-3918 chromosome, complete genome
>NZ_CP103694.1 Escherichia coli strain ST12468 chromosome, complete genome
>NZ_CP038857.1 Escherichia coli strain PigCaeca_2 chromosome, complete genome
>NZ_CP031833.1 Escherichia coli strain 2452 chromosome, complete genome
>NZ_CP019359.1 Escherichia coli strain XH990 chromosome, complete genome
>NZ_CP099590.1 Escherichia coli strain WG1 chromosome, complete genome
>NZ_OY754443.1 Escherichia coli isolate F829 chromosome 1, complete sequence
>NZ_CP099331.1 Escherichia fergusonii strain RHB44-C03 chromosome, complete genome
>NZ_CP031321.1 Escherichia coli strain ST2350 isolate Es_ST2350_SE1_NDM_03_2018 chromosome, complete genome
>NZ_CP046539.1 Escherichia coli strain FHI_NMBU_10 chromosome, complete genome
>NZ_CP051849.1 Escherichia coli strain SCU-101 chromosome, complete genome
>NZ_CP024815.1 Escherichia coli strain CREC-629 chromosome, complete genome
>NZ_CP041359.1 Escherichia coli strain U1 chromosome, complete genome
>NZ_CP062910.1 Escherichia coli O112ab:H8 strain Res13-Lact-EA06-22 chromosome, complete genome
>NZ_CP104647.1 Escherichia coli strain PNUSAE008406 chromosome, complete genome
>NZ_CP025910.1 Escherichia coli strain 204446 chromosome, complete genome
>NZ_CP048609.1 Escherichia coli strain STEFF_1 chromosome, complete genome
>NZ_CP027552.1 Escherichia coli strain 2015C-4498 chromosome, complete genome
>NZ_CP010177.1 Escherichia coli strain H14 chromosome, complete genome
>NZ_CP081677.1 Escherichia coli strain 0H15 chromosome, complete genome
>NZ_CP010344.1 Escherichia coli ECC-1470 chromosome, complete genome
>NZ_AP014856.1 Escherichia albertii strain CB9786 chromosome, complete genome
>NZ_CP097716.1 Escherichia coli strain MS1718 chromosome, complete genome
>NZ_CP056159.1 Escherichia marmotae strain RHBSTW-00814 chromosome, complete genome
>NZ_CP082053.1 Escherichia coli strain MS20677 chromosome, complete genome
>NZ_CP012693.1 Escherichia coli strain FORC_028 chromosome, complete genome
>NZ_CP060057.1 Escherichia coli strain G8 chromosome, complete genome
>NZ_AP022098.1 Escherichia coli strain WP4-S18-ESBL-09 chromosome, complete genome
>NZ_CP139677.1 Escherichia coli strain TP6-1 chromosome, complete genome
>NZ_CP128970.1 Escherichia coli strain TUM1886 chromosome, complete genome
>NZ_CP115320.1 Escherichia coli strain CUVET18-565 chromosome, complete genome
>NZ_CP021202.1 Escherichia coli strain Z1002 chromosome, complete genome
>NZ_CP069445.1 Escherichia coli strain FDAARGOS_1251 chromosome, complete genome
>NZ_CP057256.1 Escherichia fergusonii strain RHB31-C17 chromosome, complete genome
>NZ_CP107178.1 Escherichia coli strain R6 chromosome, complete genome
>NZ_CP075665.1 Escherichia coli strain STEC2018-553 chromosome, complete genome
>NZ_CP117556.1 Escherichia albertii strain BIA_89-5 chromosome, complete genome
>NZ_CP122676.1 Escherichia coli strain ETEC4070 chromosome, complete genome
>NZ_CP028429.1 Escherichia coli strain RM9131 chromosome, complete genome
>NZ_CP110258.1 Escherichia albertii strain KBSW50i chromosome, complete genome
>NZ_CP015846.1 Escherichia coli O157:H7 strain FRIK2069 chromosome, complete genome
>NZ_CP085074.1 Escherichia coli strain P21_SE1_04.20 chromosome, complete genome
>NZ_CP069453.1 Escherichia coli strain FDAARGOS_1254 chromosome, complete genome
>NZ_AP017610.1 Escherichia coli strain 20Ec-P-124 chromosome, complete genome
>NZ_CP069646.1 Escherichia coli O7:H4 strain MIN14 chromosome, complete genome
>NZ_CP030919.1 Escherichia coli strain KL53 chromosome, complete genome
>NZ_CP054965.1 Escherichia coli strain STIN_95 chromosome, complete genome
>NZ_CP025753.1 Escherichia coli strain CV839-06 chromosome, complete genome
>NZ_CP036202.1 Escherichia coli strain L725 chromosome, complete genome
>NZ_CP068816.1 Escherichia coli strain RIVM_C028724 chromosome, complete genome
>NZ_CP093317.1 Escherichia coli strain HUM3355 chromosome, complete genome
>NZ_AP024130.1 Escherichia coli strain SI-NP020 chromosome, complete genome
>NZ_CP070229.1 Escherichia coli strain EC12 chromosome, complete genome
>NZ_CP020520.1 Escherichia coli strain 190 chromosome, complete genome
>NZ_CP042945.1 Escherichia fergusonii strain ATCC 35471 chromosome, complete genome
>NC_012759.1 Escherichia coli BW2952, complete sequence
>NZ_CP035832.1 Escherichia coli strain 025542-1 chromosome, complete genome
>NZ_CP014642.1 Escherichia coli strain BLK16 chromosome, complete genome
>NZ_CP096587.1 Escherichia coli strain EC6622 chromosome, complete genome
>NZ_LT615378.1 Escherichia coli isolate 103 chromosome I
>NZ_AP019189.1 Escherichia coli strain M217 chromosome, complete genome
>NZ_CP016182.2 Escherichia coli strain EC590 chromosome, complete genome
>NZ_AP022044.1 Escherichia coli strain WP4-S17-ESBL-03 chromosome, complete genome
>NZ_CP042934.2 Escherichia coli 042 chromosome, complete genome
>NZ_CP119740.1 Escherichia coli strain E94 chromosome, complete genome
>NZ_CP072802.1 Escherichia coli strain PK5074 chromosome, complete genome
>NZ_AP027159.1 Escherichia coli strain 2313 chromosome, complete genome
>NZ_CP075697.1 Escherichia coli strain STEC2018-607 chromosome, complete genome
>NZ_CP010150.1 Escherichia coli strain D7 chromosome, complete genome
>NZ_CP026939.2 Escherichia coli strain CFS3313 chromosome, complete genome
>NZ_CP101222.1 Escherichia coli strain EC21Z-144 chromosome, complete genome
>NZ_CP121149.1 Escherichia coli strain E14 chromosome, complete genome
>NZ_CP023815.1 Escherichia coli strain IMT16316 chromosome, complete genome
>NZ_CP020092.1 Escherichia coli strain 13E0725 chromosome, complete genome
>NZ_CP032426.1 Escherichia coli strain SCEC020001 chromosome, complete genome
>NZ_CP098210.1 Escherichia coli strain Z0117EC0051 chromosome, complete genome
>NZ_CP035860.1 Escherichia coli strain TD225-C4 chromosome, complete genome
>NZ_CP038302.1 Escherichia coli O157:H7 strain SS TX 313-1 chromosome, complete genome
>NZ_CP139673.1 Escherichia coli strain TP6-2 chromosome, complete genome
>NZ_CP062749.1 Escherichia coli O157:H7 strain Z1486 chromosome, complete genome
>NZ_CP069542.1 Escherichia coli strain FDAARGOS_1248 chromosome, complete genome
>NZ_CP038405.1 Escherichia coli O157:H7 strain ATCC 35150 chromosome, complete genome
>NZ_CP107128.1 Escherichia coli strain S7 chromosome, complete genome
>NZ_AP027246.1 Escherichia coli strain JNE120393 chromosome, complete genome
>NZ_CP021532.1 Escherichia coli strain AR_0149 chromosome, complete genome
>NZ_CP063153.1 Escherichia coli strain M7424 chromosome, complete genome
>NZ_CP051714.1 Escherichia coli strain SCU-122 chromosome, complete genome
>NZ_CP056697.1 Escherichia marmotae strain RHBSTW-00605 chromosome, complete genome
>NZ_CP028677.1 Escherichia coli strain 114 chromosome, complete genome
>NZ_CP099892.1 Escherichia albertii strain 155_2_TBG_A chromosome, complete genome
>NZ_CP117558.1 Escherichia albertii strain BIA_8 chromosome, complete genome
>NZ_CP051430.1 Escherichia sp. SCLE84 chromosome, complete genome
>NZ_CP124460.1 Escherichia coli strain AVS0947 chromosome, complete genome
>NZ_CP107184.1 Escherichia coli strain R3 chromosome, complete genome
>NZ_CP025716.1 Escherichia coli strain BH100L substr. MG2017 chromosome, complete genome
>NZ_CP086532.1 Escherichia coli strain Ec-042-T5-ESBL chromosome, complete genome
>NZ_CP051663.1 Escherichia coli strain 1162invT2 chromosome, complete genome
>NZ_CP124487.1 Escherichia coli strain AVS0542 chromosome, complete genome
>NZ_CP027221.1 Escherichia coli strain 2015C-3101 chromosome, complete genome
>NZ_CP081711.1 Escherichia coli strain AH21 chromosome, complete genome
>NZ_CP128594.1 Escherichia coli strain VG1046-3E9 chromosome, complete genome
>NZ_CP021935.1 Escherichia coli strain AR_0055 chromosome, complete genome
>NZ_CP072689.1 Escherichia marmotae strain YF8 chromosome, complete genome
>NZ_CP120944.1 Escherichia coli O157:H7 str. EDL933 chromosome, complete genome
>NZ_CP029180.1 Escherichia coli strain H9Ecoli chromosome, complete genome
>NZ_CP124374.1 Escherichia coli strain AVS0578 chromosome, complete genome
>NZ_CP098227.1 Escherichia coli strain XJ6-3 chromosome, complete genome
>NZ_CP054191.1 Escherichia coli strain TH9F11 chromosome, complete genome
>NZ_CP068819.1 Escherichia coli strain RIVM_C029042 chromosome, complete genome
>NZ_CP080255.1 Escherichia coli strain SJC33 chromosome, complete genome
>NZ_CP024141.1 Escherichia coli strain 14EC029 chromosome, complete genome
>NZ_CP079924.1 Escherichia sp. TC-EC600-tetX4 chromosome, complete genome
>NZ_CP028647.1 Escherichia coli strain 130 chromosome, complete genome
>NZ_CP038363.1 Escherichia coli O157:H7 strain F7349 chromosome, complete genome
>NZ_CP012125.1 Escherichia coli strain DH1Ec095 chromosome, complete genome
>NZ_CP010143.1 Escherichia coli strain D4 chromosome, complete genome
>NZ_CP132297.1 Escherichia coli strain PNUSAE145743 chromosome, complete genome
>NZ_CP032073.1 Escherichia coli strain CT29 chromosome, complete genome
>NZ_CP024618.1 Escherichia coli strain SMN152SH1 chromosome, complete genome
>NZ_CP028757.1 Escherichia coli strain A17 chromosome, complete genome
>NZ_CP121147.1 Escherichia coli strain E20 chromosome, complete genome
>NZ_CP067245.1 Escherichia coli strain OW1E2 chromosome, complete genome
>NZ_CP132019.1 Escherichia coli strain JCH767 chromosome, complete genome
>NZ_CP123008.1 Escherichia coli strain NWU_4 chromosome, complete genome
>NZ_CP022086.2 Escherichia coli O104:H4 strain FDAARGOS_348 chromosome, complete genome
>NZ_CP025851.1 Escherichia coli strain 510016 chromosome, complete genome
>NZ_CP031214.1 Escherichia coli strain C600 chromosome, complete genome
>NZ_OW967178.1 Escherichia coli isolate 362 chromosome main, complete sequence
>NZ_CP084683.1 Escherichia coli strain BL21(RP) chromosome, complete genome
>NZ_CP035772.1 Escherichia coli O145 strain RM8843-C1 chromosome, complete genome
>NZ_CP051158.1 Escherichia coli strain 17MR471 chromosome, complete genome
>NZ_CP095843.1 Escherichia fergusonii strain EF21QZZ116 chromosome, complete genome
>NZ_LS483296.1 Escherichia coli strain NCTC9966 chromosome 1, complete sequence
>NZ_CP135719.1 Escherichia coli strain TUM1226 chromosome, complete genome
>NZ_CP027452.1 Escherichia coli strain 2014C-3338 chromosome, complete genome
>NZ_CP130710.1 Escherichia coli strain DDG206 chromosome, complete genome
>NZ_CP028745.1 Escherichia coli strain A30 chromosome, complete genome
>NZ_CP013185.1 Escherichia coli strain FORC_029 chromosome, complete genome
>NC_022364.1 Escherichia coli LY180, complete sequence
>NZ_CP141767.1 Escherichia coli strain T-HYM1 chromosome, complete genome
>NZ_CP076230.1 Escherichia coli O157:H7 strain Rafaela_II chromosome, complete genome
>NZ_CP018115.1 Escherichia coli strain MRSN346638 chromosome, complete genome
>NZ_CP086334.1 Escherichia coli strain EBJ003 chromosome, complete genome
>NZ_CP031343.1 Escherichia coli O145 strain RM10425-C1 chromosome, complete genome
>NZ_CP134366.1 Escherichia coli strain TUM12368 chromosome, complete genome
>NZ_CP024720.1 Escherichia coli isolate NQ3 chromosome, complete genome
>NZ_CP124436.1 Escherichia coli strain AVS0790 chromosome, complete genome
>NZ_CP016018.1 Escherichia coli strain ER1821R chromosome, complete genome
>NZ_CP069865.1 Escherichia coli strain FDAARGOS_1282 chromosome, complete genome
>NZ_CP139337.1 Escherichia coli strain YZ22MPE54 chromosome, complete genome
>NZ_CP021339.1 Escherichia coli strain 95NR1 chromosome, complete genome
>NC_018661.1 Escherichia coli O104:H4 str. 2009EL-2071, complete sequence
>NZ_CP082100.1 Escherichia coli strain MS15047 chromosome, complete genome
>NZ_LR890299.1 Escherichia coli strain MSB1_3B isolate MSB1_3B chromosome 1, complete sequence
>NZ_CP057681.1 Escherichia fergusonii strain RHB18-C04 chromosome, complete genome
>NC_011742.1 Escherichia coli S88, complete sequence
>NZ_CP116987.1 Escherichia coli strain MLI107 chromosome, complete genome
>NZ_CP099914.1 Escherichia albertii strain 104_2_TS_A chromosome, complete genome
>NZ_CP031134.1 Escherichia coli strain CFSAN064035 chromosome, complete genome
>NZ_CP086220.1 Escherichia coli strain 779 chromosome, complete genome
>NZ_CP062815.1 Escherichia coli strain Res13-Sevr-PER06-05-b-A chromosome, complete genome
>NZ_OY754416.1 Escherichia coli isolate F1267 chromosome 1, complete sequence
>NZ_CP030152.1 Escherichia coli strain JSMCR1 chromosome, complete genome
>NZ_CP027255.1 Escherichia coli strain EC11 chromosome, complete genome
>NZ_CP024256.1 Escherichia coli strain ATCC 43886 chromosome, complete genome
>NZ_CP014522.1 Escherichia coli strain ZH063 chromosome, complete genome
>NZ_CP030331.1 Escherichia coli strain AR_452 chromosome, complete genome
>NZ_CP082776.1 Escherichia coli O4:H5 strain CU532-9 chromosome, complete genome
>NZ_CP085638.1 Escherichia coli strain fEC.1 chromosome, complete genome
>NZ_CP059840.2 Escherichia coli strain E2348/69 chromosome, complete genome
>NZ_CP042865.1 Escherichia coli strain ATCC BAA-196 chromosome, complete genome
>NZ_CP028620.1 Escherichia coli strain 139 chromosome, complete genome
>NZ_CP117615.1 Escherichia albertii strain BIA_25 chromosome, complete genome
>NZ_OY754382.1 Escherichia coli isolate F138 chromosome 1, complete sequence
>NZ_CP074033.1 Escherichia coli strain PI7 chromosome, complete genome
>NZ_CP084900.1 Escherichia coli strain EC20 chromosome, complete genome
>NZ_CP015853.1 Escherichia coli strain ATCC 43889 chromosome, complete genome
>NZ_CP034792.1 Escherichia coli strain 2009C-3378 chromosome, complete genome
>NZ_CP048604.1 Escherichia coli strain PapRG-06-3 chromosome, complete genome
>NZ_CP133923.1 Escherichia coli strain M21816 chromosome, complete genome
>NZ_LR134270.1 Escherichia marmotae strain NCTC8196 chromosome 1, complete sequence
>NZ_CP035516.1 Escherichia coli strain U14A chromosome, complete genome
>NZ_CP027126.1 Escherichia coli strain AR_0374 chromosome, complete genome
>NZ_CP069980.1 Escherichia coli strain FDAARGOS_1291 chromosome, complete genome
>NZ_CP043199.1 Escherichia coli O16:H48 strain PG20180060 chromosome, complete genome
>NZ_CP053605.1 Escherichia coli strain NEB_Turbo chromosome, complete genome
>NZ_CP099906.1 Escherichia albertii strain 121_1_EW_A chromosome, complete genome
>NZ_CP068821.1 Escherichia coli strain RIVM_C029952 chromosome, complete genome
>NZ_CP084894.1 Escherichia coli strain g83 chromosome, complete genome
>NZ_CP080172.1 Escherichia coli strain PK8566 chromosome, complete genome
>NZ_CP063492.1 Escherichia coli strain EF5-18-41 chromosome, complete genome
>NZ_CP081008.1 Escherichia coli strain XL10-gold-ultracompetent chromosome, complete genome
>NZ_CP038408.1 Escherichia coli O157:H7 strain 86-24 chromosome, complete genome
>NZ_CP024260.1 Escherichia coli strain F5656C1 chromosome, complete genome
>NZ_CP048371.1 Escherichia coli strain 163 chromosome, complete genome
>NZ_LR882978.1 Escherichia coli isolate L3_CS7_E2980 chromosome 1, complete sequence
>NZ_CP122600.1 Escherichia coli strain ETEC6333 chromosome, complete genome
>NZ_CP041919.1 Escherichia coli strain Ec40743 chromosome, complete genome
>NZ_CP098201.1 Escherichia coli strain Z0117EC0056 chromosome, complete genome
>NZ_CP031906.1 Escherichia coli O91:H21 strain FWSEC0008 chromosome, complete genome
>NZ_CP034784.1 Escherichia coli strain ECZP248 chromosome, complete genome
>NZ_CP015085.1 Escherichia coli O25b:H4 chromosome, complete genome
>NZ_CP015087.1 Escherichia coli O25b:H4 extrachromosomal
>NZ_CP015088.1 Escherichia coli O25b:H4 extrachromosomal
>NZ_CP070063.1 Escherichia coli strain FDAARGOS_1372 chromosome, complete genome
>NZ_CP142440.1 Escherichia coli strain Case 4 chromosome, complete genome
>NZ_CP019243.1 Escherichia coli strain Combat2C1 chromosome, complete genome
>NZ_CP023377.1 Escherichia coli strain 127 chromosome, complete genome
>NZ_CP044314.1 Escherichia coli strain RM9245 chromosome, complete genome
>NZ_CP104639.1 Escherichia coli strain PNUSAE014970 chromosome, complete genome
>NZ_CP018976.1 Escherichia coli strain Ecol_545 chromosome, complete genome
>NZ_OW967802.1 Escherichia coli isolate 410 chromosome main, complete sequence
>NZ_CP028110.1 Escherichia coli O121 str. RM8352 chromosome, complete genome
>NZ_CP058874.1 Escherichia coli strain STLEFF_47 chromosome, complete genome
>NZ_CP076697.1 Escherichia coli strain S10EC chromosome, complete genome
>NZ_CP011321.1 Escherichia coli strain SQ88 chromosome, complete genome
>NZ_CP059003.1 Escherichia coli strain 2D chromosome, complete genome
>NZ_CP045213.1 Escherichia coli strain EH41 chromosome, complete genome
>NZ_CP062731.1 Escherichia coli O157:H7 strain Z1768 chromosome, complete genome
>NZ_CP133856.1 Escherichia coli strain ES1 chromosome, complete genome
>NZ_CP123592.1 Escherichia coli strain DJH_137urine chromosome, complete genome
>NZ_CP043478.1 Escherichia coli strain ST130 chromosome, complete genome
>NZ_CP017631.1 Escherichia coli strain SLK172 chromosome, complete genome
>NZ_CP110859.1 Escherichia coli strain TSW4881-W1 chromosome, complete genome
>NZ_CP076276.1 Escherichia coli strain SA31-1 chromosome, complete genome
>NZ_CP038290.1 Escherichia coli O157:H7 strain TX 265-1 chromosome, complete genome
>NZ_CP028752.1 Escherichia coli strain A23 chromosome, complete genome
>NZ_CP013112.1 Escherichia coli strain YD786 chromosome, complete genome
>NZ_CP132063.1 Escherichia coli strain QML220601 chromosome, complete genome
>NZ_CP080119.1 Escherichia coli strain M45 chromosome, complete genome
>NZ_CP062723.1 Escherichia coli O157:H7 strain Z1814 chromosome, complete genome
>NZ_CP035123.1 Escherichia coli strain EC25 chromosome, complete genome
>NZ_CP069666.1 Escherichia coli O89m:H9 strain MIN11 chromosome, complete genome
>NZ_CP035944.1 Escherichia coli strain AR24.2b chromosome, complete genome
>NZ_LR134237.1 Escherichia coli strain NCTC9022 chromosome 1, complete sequence
>NZ_LR890334.1 Escherichia coli strain MINF_9A isolate MINF_9A chromosome 1, complete sequence
>NZ_CP122315.1 Escherichia coli strain HT-947 chromosome, complete genome
>NZ_CP116994.1 Escherichia coli strain MLI108K1 chromosome, complete genome
>NZ_CP035812.1 Escherichia coli strain B7A chromosome, complete genome
>NZ_CP099898.1 Escherichia albertii strain 147_1_TBG_A chromosome, complete genome
>NZ_LR134228.1 Escherichia coli strain NCTC9699 chromosome 1, complete sequence
>NZ_CP013025.1 Escherichia coli strain 2009C-3133 chromosome, complete genome
>NZ_CP110999.1 Escherichia coli strain J53-p133 chromosome, complete genome
>NZ_OW968111.1 Escherichia coli isolate 602 chromosome main, complete sequence
>NZ_CP087578.1 Escherichia coli strain OSUCMP42NDM chromosome, complete genome
>NZ_CP053080.1 Escherichia coli strain HB37 chromosome HB37, complete sequence
>NZ_CP081713.1 Escherichia coli strain CX04 chromosome, complete genome
>NZ_AP027197.1 Escherichia coli strain 02E060 chromosome, complete genome
>NZ_CP057918.1 Escherichia fergusonii strain RHB10-C04 chromosome, complete genome
>NZ_CP055251.1 Escherichia coli strain AH01 chromosome, complete genome
>NZ_CP141100.1 Escherichia coli strain KE40 chromosome, complete genome
>NZ_CP012376.1 Escherichia coli strain GE3 chromosome, complete genome
>NZ_CP110018.1 Escherichia coli strain DH10B chromosome, complete genome
>NZ_CP066085.1 Escherichia fergusonii strain FDAARGOS_1032 chromosome, complete genome
>NZ_CP089270.1 Escherichia coli O157:H7 strain M1300706002 chromosome, complete genome
>NZ_CP040090.1 Escherichia coli strain FT130 chromosome, complete genome
>NZ_CP135656.1 Escherichia coli strain TUM11356 chromosome, complete genome
>NZ_CP058223.1 Escherichia coli strain 550 chromosome, complete genome
>NZ_CP101310.1 Escherichia coli strain 99-3311 chromosome, complete genome
>NZ_CP037910.1 Escherichia coli strain YSP8-1 chromosome, complete genome
>NZ_CP043274.1 Escherichia coli strain WCHEC035148 chromosome, complete genome
>NZ_CP143092.1 Escherichia coli strain EC190486 chromosome, complete genome
>NZ_CP128590.1 Escherichia coli strain VG35A2 chromosome, complete genome
>NZ_CP048934.1 Escherichia coli strain 190693 chromosome, complete genome
>NZ_CP034738.1 Escherichia coli strain L65 chromosome, complete genome
>NZ_CP029574.1 Escherichia coli strain DA33133 chromosome, complete genome
>NZ_CP072787.1 Escherichia coli strain NC101 chromosome, complete genome
>NZ_CP082127.1 Escherichia coli strain NDM_12_14482 chromosome, complete genome
>NZ_CP086623.1 Escherichia coli strain RIVM_C037794 chromosome, complete genome
>NC_013364.1 Escherichia coli O111:H- str. 11128, complete sequence
>NZ_CP047461.1 Escherichia coli strain ZF34 chromosome, complete genome
>NZ_CP037857.2 Escherichia coli BW25113 strain AM187 chromosome, complete genome
>NZ_OY754421.1 Escherichia coli isolate F344 chromosome 1, complete sequence
>NZ_CP124332.1 Escherichia coli strain AVS0753 chromosome, complete genome
>NZ_CP141789.1 Escherichia coli strain K194T1-1017 chromosome, complete genome
>NZ_CP115343.1 Escherichia coli strain CUVET21-H2 chromosome, complete genome
>NZ_CP032667.1 Escherichia coli str. K-12 substr. MG1655 strain K-12 chromosome, complete genome
>NZ_CP069451.1 Escherichia coli strain FDAARGOS_1256 chromosome, complete genome
>NZ_CP051694.1 Escherichia coli strain SCU-313 chromosome, complete genome
>NZ_CP053594.1 Escherichia coli strain T7Express_Crystal chromosome, complete genome
>NZ_CP103739.1 Escherichia coli strain 3359 chromosome, complete genome
>NZ_CP041392.1 Escherichia coli strain ECOL-18-VL-LA-PA-Ryan-0026 chromosome, complete genome
>NZ_CP069706.1 Escherichia coli strain ECY44 chromosome, complete genome
>NZ_CP062250.1 Escherichia coli strain AML002_par chromosome, complete genome
>NZ_CP081791.1 Escherichia coli strain CT01 chromosome, complete genome
>NZ_CP010876.1 Escherichia coli strain MNCRE44 chromosome, complete genome
>NZ_CP124511.1 Escherichia coli strain AVS0501 chromosome, complete genome
>NZ_CP013952.1 Escherichia coli strain HST04 chromosome, complete genome
>NZ_CP099868.1 Escherichia albertii strain 254_1_EW_B chromosome, complete genome
>NC_011748.1 Escherichia coli 55989, complete sequence
>NZ_CP095786.1 Escherichia fergusonii strain EF21JD053 chromosome, complete genome
>NZ_CP068812.1 Escherichia coli strain RIVM_C029020 chromosome, complete genome
>NZ_CP139669.1 Escherichia coli strain TP6-3 chromosome, complete genome
>NZ_CP022164.1 Escherichia coli strain M160133 chromosome, complete genome
>NZ_CP028650.1 Escherichia coli strain 124 chromosome, complete genome
>NZ_CP075462.1 Escherichia coli strain NT1F10 chromosome, complete genome
>NZ_CP031706.1 Escherichia coli strain R1 chromosome, complete genome
>NZ_CP032085.1 Escherichia coli strain ATCC 25922 chromosome, complete genome
>NZ_CP028603.1 Escherichia coli strain 144 chromosome, complete genome
>NZ_CP122719.1 Escherichia coli strain ETEC1748 chromosome, complete genome
>NZ_CP064679.1 Escherichia coli K-12 strain CETR2G40 chromosome, complete genome
>NZ_CP028740.1 Escherichia coli strain A35 chromosome, complete genome
>NZ_CP069559.1 Escherichia coli strain FDAARGOS_1259 chromosome, complete genome
